league,season,team,player,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,stat_type
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,
GER-Bundesliga,2024,Bochum,Maximilian Wittek,GER,DF,29-233,1995,27,26,2170,24.1,0,0,0,0,0,0,8,0,1.1,1.1,3.6,4.8,37,107,68,0.0,0.0,0.0,0.0,0.0,0.05,0.15,0.2,0.05,0.2,standard
GER-Bundesliga,2024,Bochum,Moritz Broschinski,GER,"FW,MF",24-200,2000,28,14,1282,14.2,1,3,4,1,0,0,1,0,4.1,4.1,1.7,5.8,31,19,117,0.07,0.21,0.28,0.07,0.28,0.29,0.12,0.41,0.29,0.41,standard
GER-Bundesliga,2024,Bochum,Moritz-Broni Kwarteng,GHA,"MF,FW",26-348,1998,7,0,172,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,4,12,16,0.0,0.0,0.0,0.0,0.0,0.1,0.09,0.19,0.1,0.19,standard
GER-Bundesliga,2024,Bochum,Myron Boadu,NED,FW,24-087,2001,14,8,677,7.5,7,1,8,6,1,1,1,0,5.6,4.8,0.6,5.4,6,10,40,0.93,0.13,1.06,0.8,0.93,0.75,0.08,0.83,0.64,0.72,standard
GER-Bundesliga,2024,Bochum,Patrick Drewes,GER,GK,32-066,1993,21,21,1890,21.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard
GER-Bundesliga,2024,Bochum,Philipp Hofmann,GER,FW,32-012,1993,28,23,2041,22.7,2,3,5,2,0,0,4,0,4.2,4.2,3.3,7.4,8,47,99,0.09,0.13,0.22,0.09,0.22,0.18,0.14,0.33,0.18,0.33,standard
GER-Bundesliga,2024,Bochum,Samuel Bamba,GER,"FW,DF",21-057,2004,4,0,14,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,1,6,0.0,0.0,0.0,0.0,0.0,0.43,0.2,0.62,0.43,0.62,standard
GER-Bundesliga,2024,Bochum,Tim Oermann,GER,DF,21-187,2003,23,20,1702,18.9,0,2,2,0,0,0,0,0,0.1,0.1,0.6,0.7,9,42,11,0.0,0.11,0.11,0.0,0.11,0.01,0.03,0.04,0.01,0.04,standard
GER-Bundesliga,2024,Bochum,Timo Horn,GER,GK,31-334,1993,7,7,630,7.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard
GER-Bundesliga,2024,Bochum,Tom Krauß,GER,MF,23-293,2001,9,8,676,7.5,0,0,0,0,0,0,1,0,0.3,0.3,0.6,0.8,12,49,14,0.0,0.0,0.0,0.0,0.0,0.03,0.08,0.11,0.03,0.11,standard
GER-Bundesliga,2024,Dortmund,Alexander Meyer,GER,GK,33-363,1991,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,standard
GER-Bundesliga,2024,Dortmund,Almugera Kabar,GER,DF,18-309,2006,5,1,137,1.5,0,0,0,0,0,0,2,1,0.0,0.0,0.5,0.5,5,6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.36,0.0,0.36,standard
GER-Bundesliga,2024,Dortmund,Ayman Azhil,MAR,MF,24-001,2001,1,0,24,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard
GER-Bundesliga,2024,Dortmund,Carney Chukwuemeka,ENG,MF,21-173,2003,5,1,138,1.5,1,0,1,1,0,0,1,0,0.4,0.4,0.4,0.9,7,11,12,0.65,0.0,0.65,0.65,0.65,0.27,0.29,0.56,0.27,0.56,standard
GER-Bundesliga,2024,Dortmund,Cole Campbell,USA,"MF,FW",19-050,2006,4,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard
