league,season,team,player,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,stat_type
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,
GER-Bundesliga,2024,Dortmund,Maximilian Beier,GER,"FW,MF",22-176,2002,16.4,271,383,70.8,3335,817,174,223,78.0,66,94,70.2,5,9,55.6,5,3.2,2.5,1.8,21,13,13,3,32,passing
GER-Bundesliga,2024,Dortmund,Nico Schlotterbeck,GER,DF,25-131,1999,22.0,1856,2080,89.2,35474,13457,674,711,94.8,975,1042,93.6,190,282,67.4,4,2.1,2.1,1.9,18,226,10,2,195,passing
GER-Bundesliga,2024,Dortmund,Niklas Süle,GER,DF,29-220,1995,6.3,527,565,93.3,9006,3665,229,239,95.8,271,285,95.1,24,32,75.0,0,0.0,0.2,0.0,1,41,0,0,34,passing
GER-Bundesliga,2024,Dortmund,Pascal Groß,GER,"MF,DF",33-300,1991,22.1,1414,1744,81.1,24548,7229,661,712,92.8,574,652,88.0,141,287,49.1,6,4.0,5.6,2.0,50,105,35,14,159,passing
GER-Bundesliga,2024,Dortmund,Ramy Bensebaini,ALG,DF,29-360,1995,17.4,911,1063,85.7,15184,4600,443,479,92.5,402,451,89.1,57,98,58.2,5,2.7,2.0,2.3,13,73,15,4,88,passing
GER-Bundesliga,2024,Dortmund,Salih Özcan,TUR,"MF,DF",27-090,1998,3.0,146,189,77.2,2469,787,64,73,87.7,71,88,80.7,8,19,42.1,0,0.3,0.3,-0.3,4,17,6,1,22,passing
GER-Bundesliga,2024,Dortmund,Serhou Guirassy,GUI,FW,29-030,1996,23.0,345,468,73.7,4388,655,224,274,81.8,83,114,72.8,12,18,66.7,1,3.7,2.7,-2.7,22,20,9,0,29,passing
GER-Bundesliga,2024,Dortmund,Waldemar Anton,GER,DF,28-265,1996,15.7,1306,1447,90.3,23864,7182,519,544,95.4,685,732,93.6,97,144,67.4,2,0.8,1.2,1.2,6,92,6,3,98,passing
GER-Bundesliga,2024,Dortmund,Yan Couto,BRA,"DF,FW",22-312,2002,9.1,557,684,81.4,8954,2565,277,306,90.5,235,280,83.9,34,66,51.5,0,0.9,2.1,-0.9,12,51,24,9,62,passing
GER-Bundesliga,2024,Dortmund,Yannik Lührs,GER,DF,21-214,2003,1.4,152,166,91.6,2551,603,58,62,93.5,88,92,95.7,5,7,71.4,0,0.0,0.0,0.0,1,5,0,0,1,passing
GER-Bundesliga,2024,Eint Frankfurt,Ansgar Knauff,GER,"MF,DF",23-091,2002,13.8,295,447,66.0,4045,1458,180,238,75.6,92,146,63.0,9,26,34.6,5,4.7,3.8,0.3,24,12,17,4,46,passing
GER-Bundesliga,2024,Eint Frankfurt,Arthur Theate,BEL,DF,24-321,2000,24.5,1250,1487,84.1,22424,8516,527,563,93.6,582,665,87.5,119,211,56.4,0,0.6,0.9,-0.6,8,137,16,2,130,passing
