nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP,league,season,stat_type
,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,,,,
FRA,"MF,FW",22-356,2002,18.4,237,355,66.8,3344,1174,144,187,77.0,74,111,66.7,10,16,62.5,3,2.5,1.7,0.5,19,30,16,1,67,ENG-Premier League,2024,passing
BRA,DF,27-063,1998,10.0,628,682,92.1,11358,3723,248,257,96.5,337,354,95.2,40,56,71.4,0,0.2,0.3,-0.2,1,35,2,1,44,ENG-Premier League,2024,passing
ENG,"DF,MF",20-000,2005,15.7,663,798,83.1,10135,2564,384,416,92.3,216,257,84.0,47,91,51.6,0,0.9,1.3,-0.9,10,25,8,2,52,ENG-Premier League,2024,passing
POL,MF,26-004,1999,0.1,18,22,81.8,254,82,10,14,71.4,8,8,100.0,0,0,,0,0.2,0.5,-0.2,3,0,1,1,4,ENG-Premier League,2024,passing
ENG,MF,39-097,1986,1.9,55,73,75.3,899,347,26,28,92.9,23,30,76.7,4,10,40.0,0,0.2,0.2,-0.2,4,3,1,1,10,ENG-Premier League,2024,passing
NED,DF,24-307,2000,27.9,1741,1967,88.5,34428,13099,593,634,93.5,939,1004,93.5,197,296,66.6,1,1.5,1.3,-0.5,13,188,15,4,199,ENG-Premier League,2024,passing
ENG,GK,34-236,1990,2.0,101,112,90.2,2321,1556,21,21,100.0,63,65,96.9,17,26,65.4,0,0.0,0.0,0.0,0,0,0,0,0,ENG-Premier League,2024,passing
ECU,MF,22-299,2002,0.1,6,6,100.0,74,1,4,4,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,ENG-Premier League,2024,passing
BRA,"FW,MF",23-197,2001,20.0,438,603,72.6,6242,1606,269,345,78.0,123,164,75.0,26,39,66.7,6,4.3,2.7,1.7,24,38,34,4,71,ENG-Premier League,2024,passing
NED,DF,33-086,1992,18.3,716,895,80.0,12082,3157,354,394,89.8,291,361,80.6,62,98,63.3,0,0.5,1.3,-0.5,6,61,8,5,79,ENG-Premier League,2024,passing
PAR,"MF,FW",21-078,2004,3.3,99,150,66.0,1464,392,61,75,81.3,29,40,72.5,5,22,22.7,0,0.2,0.3,-0.2,5,13,4,1,14,ENG-Premier League,2024,passing
JPN,"FW,MF",27-326,1997,27.4,685,908,75.4,8929,2029,458,528,86.7,173,244,70.9,22,49,44.9,3,4.4,3.7,-1.4,35,32,32,8,80,ENG-Premier League,2024,passing
ENG,DF,33-141,1991,19.1,1514,1668,90.8,28354,9124,560,579,96.7,813,855,95.1,129,207,62.3,0,0.5,0.7,-0.5,6,142,4,0,127,ENG-Premier League,2024,passing
NED,MF,25-146,1999,5.7,340,392,86.7,5672,1543,156,170,91.8,150,169,88.8,24,31,77.4,1,0.8,0.4,0.2,9,34,2,0,37,ENG-Premier League,2024,passing
DEN,MF,24-141,2000,6.0,203,258,78.7,3062,784,110,118,93.2,64,80,80.0,17,40,42.5,1,1.2,1.2,-0.2,11,20,5,0,24,ENG-Premier League,2024,passing
ECU,DF,27-080,1998,20.7,1055,1262,83.6,16073,4853,624,669,93.3,345,414,83.3,63,120,52.5,1,1.9,1.9,-0.9,22,73,27,18,86,ENG-Premier League,2024,passing
