nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,league,season,stat_type
,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,,,
ITA,FW,29,1993,10.5,3,33,9,27.3,3.13,0.85,0.09,0.33,13.9,0,0,0,3.7,3.7,0.11,-0.7,-0.7,ITA-Serie A,2023,shooting
CZE,"MF,FW",28,1994,9.0,2,20,8,40.0,2.23,0.89,0.1,0.25,16.9,1,0,0,1.5,1.5,0.08,0.5,0.5,ITA-Serie A,2023,shooting
BRA,MF,26,1996,22.1,2,11,5,45.5,0.5,0.23,0.09,0.2,28.6,0,1,1,1.0,0.3,0.02,1.0,0.7,ITA-Serie A,2023,shooting
CIV,FW,25,1997,12.1,2,24,7,29.2,1.98,0.58,0.08,0.29,17.0,0,0,0,1.9,1.9,0.08,0.1,0.1,ITA-Serie A,2023,shooting
ITA,DF,30,1992,26.2,2,16,5,31.3,0.61,0.19,0.13,0.4,28.1,7,0,1,1.6,0.8,0.05,0.4,1.2,ITA-Serie A,2023,shooting
ITA,DF,31,1991,4.4,0,3,1,33.3,0.69,0.23,0.0,0.0,18.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,ITA-Serie A,2023,shooting
BRA,DF,24,1998,5.8,0,2,1,50.0,0.34,0.17,0.0,0.0,19.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1,ITA-Serie A,2023,shooting
ITA,DF,22,2000,16.2,0,12,2,16.7,0.74,0.12,0.0,0.0,19.4,0,0,0,0.9,0.9,0.08,-0.9,-0.9,ITA-Serie A,2023,shooting
ITA,"FW,MF",26,1997,4.1,1,5,2,40.0,1.23,0.49,0.2,0.5,14.9,0,0,0,0.3,0.3,0.07,0.7,0.7,ITA-Serie A,2023,shooting
ITA,MF,33,1989,25.3,8,51,13,25.5,2.02,0.51,0.16,0.62,20.2,1,0,1,5.7,4.4,0.09,2.3,3.6,ITA-Serie A,2023,shooting
ARG,MF,20,2003,1.1,0,1,0,0.0,0.94,0.0,0.0,,29.3,0,0,0,0.0,0.0,0.02,0.0,0.0,ITA-Serie A,2023,shooting
FRA,FW,25,1998,18.7,3,39,15,38.5,2.09,0.8,0.08,0.2,16.1,0,0,0,4.6,4.6,0.12,-1.6,-1.6,ITA-Serie A,2023,shooting
CRO,FW,25,1998,7.2,1,9,4,44.4,1.24,0.55,0.11,0.25,19.3,0,0,0,0.4,0.4,0.04,0.6,0.6,ITA-Serie A,2023,shooting
ITA,MF,19,2004,0.2,0,1,0,0.0,4.09,0.0,0.0,,29.5,0,0,0,0.0,0.0,0.01,0.0,0.0,ITA-Serie A,2023,shooting
ITA,DF,24,1999,22.9,2,10,3,30.0,0.44,0.13,0.2,0.67,8.8,0,0,0,0.9,0.9,0.09,1.1,1.1,ITA-Serie A,2023,shooting
ARG,"FW,MF",22,2001,18.8,6,30,7,23.3,1.6,0.37,0.17,0.71,15.5,0,1,1,3.8,3.0,0.1,2.2,2.0,ITA-Serie A,2023,shooting
ARG,DF,27,1996,25.5,5,24,7,29.2,0.94,0.27,0.21,0.71,10.2,0,0,0,2.7,2.7,0.11,2.3,2.3,ITA-Serie A,2023,shooting
ANG,FW,26,1996,17.2,3,31,12,38.7,1.8,0.7,0.06,0.17,12.5,0,1,1,4.5,3.7,0.12,-1.5,-1.7,ITA-Serie A,2023,shooting
FRA,MF,25,1997,8.9,0,4,2,50.0,0.45,0.23,0.0,0.0,20.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,ITA-Serie A,2023,shooting
ITA,DF,19,2004,22.9,1,7,2,28.6,0.31,0.09,0.14,0.5,20.3,0,0,0,0.5,0.5,0.07,0.5,0.5,ITA-Serie A,2023,shooting
ARG,FW,25,1998,21.3,12,84,33,39.3,3.95,1.55,0.13,0.33,16.6,2,1,3,10.4,8.0,0.1,1.6,3.0,ITA-Serie A,2023,shooting
SRB,DF,25,1997,27.9,0,10,3,30.0,0.36,0.11,0.0,0.0,19.9,0,0,0,0.4,0.4,0.04,-0.4,-0.4,ITA-Serie A,2023,shooting
DEN,GK,24,1999,4.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ITA-Serie A,2023,shooting
ITA,"DF,FW",18,2005,0.5,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ITA-Serie A,2023,shooting
ITA,GK,33,1990,33.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,ITA-Serie A,2023,shooting
ITA,FW,24,1999,12.3,2,34,13,38.2,2.77,1.06,0.06,0.15,17.0,1,0,0,2.6,2.6,0.08,-0.6,-0.6,ITA-Serie A,2023,shooting
