league,season,team,player,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,stat_type
,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,
ITA-Serie A,2022,Empoli,Roberto Piccoli,ITA,FW,21,2001,5.7,1,1,1,0,0,0,3,0.0,3,4,1,3,1,2,9,0,defense
ITA-Serie A,2022,Empoli,Răzvan Marin,ROU,MF,26,1996,28.2,44,22,22,21,1,19,40,47.5,21,29,11,18,14,58,33,0,defense
ITA-Serie A,2022,Empoli,Sam Lammers,NED,FW,25,1997,9.8,20,10,5,9,6,7,11,63.6,4,4,1,3,3,23,8,0,defense
ITA-Serie A,2022,Empoli,Samir Ujkani,KVX,GK,34,1988,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
ITA-Serie A,2022,Empoli,Samuele Perisan,ITA,GK,24,1997,7.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,defense
ITA-Serie A,2022,Empoli,Sebastian Walukiewicz,POL,DF,22,2000,6.7,9,6,7,2,0,4,6,66.7,2,10,9,1,7,16,30,0,defense
ITA-Serie A,2022,Empoli,Sebastiano Luperto,ITA,DF,25,1996,34.8,33,18,24,8,1,9,20,45.0,11,54,42,12,43,76,163,1,defense
ITA-Serie A,2022,Empoli,Tommaso Baldanzi,ITA,MF,19,2003,19.7,25,12,9,13,3,7,32,21.9,25,21,1,20,2,27,5,0,defense
ITA-Serie A,2022,Empoli,Tyronne Ebuehi,NGA,DF,26,1995,21.4,22,14,11,7,4,9,13,69.2,4,23,12,11,12,34,79,1,defense
ITA-Serie A,2022,Fiorentina,Aleksa Terzić,SRB,DF,22,1999,10.4,16,9,9,4,3,11,21,52.4,10,13,4,9,5,21,16,0,defense
ITA-Serie A,2022,Fiorentina,Alessandro Bianco,ITA,MF,19,2002,1.7,5,2,2,3,0,2,3,66.7,1,1,0,1,0,5,0,0,defense
ITA-Serie A,2022,Fiorentina,Alfred Duncan,GHA,MF,29,1993,12.3,18,10,0,17,1,10,21,47.6,11,9,0,9,8,26,6,0,defense
ITA-Serie A,2022,Fiorentina,Antonín Barák,CZE,MF,27,1994,20.0,21,9,5,7,9,6,16,37.5,10,16,2,14,3,24,13,0,defense
ITA-Serie A,2022,Fiorentina,Arthur Cabral,BRA,FW,24,1998,15.9,9,2,1,4,4,4,8,50.0,4,10,1,9,1,10,12,0,defense
ITA-Serie A,2022,Fiorentina,Christian Kouamé,CIV,FW,24,1997,20.7,27,18,8,10,9,7,14,50.0,7,15,3,12,12,39,8,0,defense
ITA-Serie A,2022,Fiorentina,Cristiano Biraghi,ITA,DF,29,1992,28.3,65,38,29,29,7,32,65,49.2,33,32,7,25,14,79,42,1,defense
ITA-Serie A,2022,Fiorentina,Dodô,BRA,DF,23,1998,25.9,40,22,20,14,6,22,46,47.8,24,26,2,24,25,65,37,0,defense
ITA-Serie A,2022,Fiorentina,Gaetano Castrovilli,ITA,MF,25,1997,8.0,10,8,1,7,2,2,9,22.2,7,5,1,4,8,18,5,0,defense
ITA-Serie A,2022,Fiorentina,Giacomo Bonaventura,ITA,MF,32,1989,21.2,35,23,14,15,6,24,37,64.9,13,14,0,14,16,51,5,1,defense
ITA-Serie A,2022,Fiorentina,Igor,BRA,DF,24,1998,22.9,43,29,21,18,4,20,27,74.1,7,33,14,19,25,68,56,2,defense
ITA-Serie A,2022,Fiorentina,Jonathan Ikone,FRA,FW,24,1998,22.3,16,8,5,6,5,5,14,35.7,9,18,1,17,4,20,3,0,defense
ITA-Serie A,2022,Fiorentina,Josip Brekalo,CRO,"FW,MF",24,1998,2.5,2,1,0,1,1,1,4,25.0,3,1,0,1,1,3,1,0,defense
ITA-Serie A,2022,Fiorentina,Lorenzo Venuti,ITA,DF,27,1995,10.3,18,7,6,11,1,11,18,61.1,7,7,2,5,5,23,17,2,defense
ITA-Serie A,2022,Fiorentina,Luca Ranieri,ITA,DF,23,1999,5.6,9,4,6,3,0,6,9,66.7,3,5,3,2,11,20,15,1,defense
ITA-Serie A,2022,Fiorentina,Lucas Martínez Quarta,ARG,DF,26,1996,24.1,80,48,44,32,4,42,61,68.9,19,41,19,22,48,128,78,1,defense
ITA-Serie A,2022,Fiorentina,Luka Jović,SRB,"FW,MF",24,1997,17.0,6,3,1,4,1,2,8,25.0,6,7,2,5,2,8,10,0,defense
ITA-Serie A,2022,Fiorentina,Marco Benassi,ITA,DF,27,1994,1.0,3,3,2,0,1,3,4,75.0,1,0,0,0,1,4,1,0,defense
ITA-Serie A,2022,Fiorentina,Michele Cerofolini,ITA,GK,23,1999,5.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,defense
ITA-Serie A,2022,Fiorentina,Nicolás González,ARG,"FW,MF",24,1998,15.0,17,10,3,10,4,5,16,31.3,11,14,0,14,4,21,6,0,defense
ITA-Serie A,2022,Fiorentina,Nikola Milenković,SRB,DF,24,1997,23.7,40,25,20,17,3,18,27,66.7,9,27,14,13,22,62,72,0,defense
ITA-Serie A,2022,Fiorentina,Pierluigi Gollini,ITA,GK,27,1995,3.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,2,0,defense
ITA-Serie A,2022,Fiorentina,Pietro Terracciano,ITA,GK,32,1990,29.0,2,1,2,0,0,2,3,66.7,1,0,0,0,1,3,14,0,defense
ITA-Serie A,2022,Fiorentina,Riccardo Saponara,ITA,FW,30,1991,13.4,10,5,3,6,1,5,9,55.6,4,7,1,6,5,15,9,1,defense
ITA-Serie A,2022,Fiorentina,Riccardo Sottil,ITA,FW,23,1999,9.3,4,3,2,0,2,2,5,40.0,3,2,0,2,0,4,0,0,defense
