league,season,team,player,nation,pos,age,born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG,stat_type
GER-Bundesliga,2024,Dortmund,Carney Chukwuemeka,ENG,MF,21-173,2003.0,1.5,1,6,2,33.3,3.91,1.3,0.17,0.5,15.4,0,0,0,0.4,0.4,0.07,0.6,0.6,shooting
GER-Bundesliga,2024,Dortmund,Cole Campbell,USA,"MF,FW",19-050,2006.0,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
GER-Bundesliga,2024,Dortmund,Daniel Svensson,SWE,"DF,FW",23-058,2002.0,2.7,0,1,1,100.0,0.37,0.37,0.0,0.0,9.5,0,0,0,0.0,0.0,0.04,0.0,0.0,shooting
GER-Bundesliga,2024,Dortmund,Donyell Malen,NED,"FW,MF",26-092,1999.0,6.8,3,19,6,31.6,2.79,0.88,0.16,0.5,14.2,0,0,0,2.9,2.9,0.15,0.1,0.1,shooting
GER-Bundesliga,2024,Dortmund,Emre Can,GER,"DF,MF",31-089,1994.0,20.7,3,7,1,14.3,0.34,0.05,0.14,1.0,23.1,0,2,2,2.0,0.4,0.06,1.0,0.6,shooting
GER-Bundesliga,2024,Dortmund,Felix Nmecha,GER,MF,24-183,2000.0,12.8,2,8,2,25.0,0.62,0.16,0.25,1.0,25.6,0,0,0,0.3,0.3,0.03,1.7,1.7,shooting
GER-Bundesliga,2024,Dortmund,Gio Reyna,USA,MF,22-149,2002.0,3.6,2,3,2,66.7,0.82,0.55,0.67,1.0,18.3,0,0,0,0.2,0.2,0.06,1.8,1.8,shooting
GER-Bundesliga,2024,Dortmund,Gregor Kobel,SUI,GK,27-126,1997.0,26.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
GER-Bundesliga,2024,Dortmund,Jamie Gittens,ENG,"FW,MF",20-246,2004.0,18.1,8,50,23,46.0,2.76,1.27,0.16,0.35,16.6,0,0,0,3.5,3.5,0.07,4.5,4.5,shooting
GER-Bundesliga,2024,Dortmund,Julian Brandt,GER,MF,28-344,1996.0,21.0,3,38,12,31.6,1.81,0.57,0.08,0.25,19.1,6,0,0,3.9,3.9,0.1,-0.9,-0.9,shooting
GER-Bundesliga,2024,Dortmund,Julian Ryerson,NOR,DF,27-145,1997.0,20.0,1,12,3,25.0,0.6,0.15,0.08,0.33,21.3,0,0,0,0.4,0.4,0.03,0.6,0.6,shooting
GER-Bundesliga,2024,Dortmund,Julien Duranville,BEL,"FW,MF",18-341,2006.0,2.9,0,3,1,33.3,1.03,0.34,0.0,0.0,20.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,shooting
GER-Bundesliga,2024,Dortmund,Karim Adeyemi,GER,"FW,MF",23-083,2002.0,12.9,4,40,14,35.0,3.1,1.09,0.1,0.29,18.1,0,0,0,4.2,4.2,0.1,-0.2,-0.2,shooting
GER-Bundesliga,2024,Dortmund,Kjell-Arik Wätjen,GER,MF,19-054,2006.0,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,shooting
GER-Bundesliga,2024,Dortmund,Marcel Sabitzer,AUT,"MF,FW",31-025,1994.0,16.4,0,16,5,31.3,0.98,0.31,0.0,0.0,19.7,0,0,0,1.6,1.6,0.1,-1.6,-1.6,shooting
GER-Bundesliga,2024,Dortmund,Maximilian Beier,GER,"FW,MF",22-176,2002.0,16.4,7,40,12,30.0,2.44,0.73,0.18,0.58,12.8,0,0,0,7.1,7.1,0.18,-0.1,-0.1,shooting
GER-Bundesliga,2024,Dortmund,Nico Schlotterbeck,GER,DF,25-131,1999.0,22.0,0,17,4,23.5,0.77,0.18,0.0,0.0,17.2,1,0,0,1.3,1.3,0.08,-1.3,-1.3,shooting
GER-Bundesliga,2024,Dortmund,Niklas Süle,GER,DF,29-220,1995.0,6.3,0,5,1,20.0,0.8,0.16,0.0,0.0,12.1,0,0,0,0.5,0.5,0.1,-0.5,-0.5,shooting
GER-Bundesliga,2024,Dortmund,Pascal Groß,GER,"MF,DF",33-300,1991.0,22.1,0,21,7,33.3,0.95,0.32,0.0,0.0,17.2,1,0,0,2.2,2.2,0.1,-2.2,-2.2,shooting
GER-Bundesliga,2024,Dortmund,Ramy Bensebaini,ALG,DF,29-360,1995.0,17.4,1,18,2,11.1,1.04,0.12,0.06,0.5,12.6,0,0,0,1.2,1.2,0.07,-0.2,-0.2,shooting
GER-Bundesliga,2024,Dortmund,Salih Özcan,TUR,"MF,DF",27-090,1998.0,3.0,0,4,0,0.0,1.33,0.0,0.0,,13.2,0,0,0,0.3,0.3,0.08,-0.3,-0.3,shooting
GER-Bundesliga,2024,Dortmund,Serhou Guirassy,GUI,FW,29-030,1996.0,23.0,15,72,25,34.7,3.13,1.09,0.18,0.52,11.7,1,2,2,17.6,16.0,0.23,-2.6,-3.0,shooting
