league,season,team,player,nation,pos,age,born,90s,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,stat_type
ITA-Serie A,2024,Parma,Nahuel Estévez,ARG,MF,29-148,1995,6.8,344,28,97,191,58,2,344,2,2,100.0,0,0.0,133,418,163,3,0,0,3,3,183,2,possession
ITA-Serie A,2024,Parma,Pontus Almqvist,SWE,"FW,MF",25-275,1999,12.3,460,11,67,153,252,53,460,50,20,40.0,28,56.0,297,2165,1059,42,18,22,30,13,319,85,possession
ITA-Serie A,2024,Parma,Simon Sohm,SUI,MF,24-000,2001,27.1,1248,33,211,773,281,39,1248,26,12,46.2,8,30.8,752,4298,2565,60,46,10,30,18,897,50,possession
ITA-Serie A,2024,Parma,Valentin Mihaila,ROU,"FW,MF",25-068,2000,14.3,582,5,58,226,311,31,582,27,10,37.0,14,51.9,332,1995,835,25,26,11,29,20,389,72,possession
ITA-Serie A,2024,Parma,Woyo Coulibaly,FRA,DF,25-326,1999,12.0,706,34,213,388,110,12,706,17,8,47.1,8,47.1,404,2492,1389,36,15,9,19,11,439,23,possession
ITA-Serie A,2024,Parma,Wylan Cyprien,FRA,MF,30-073,1995,0.3,28,2,8,11,9,1,28,0,0,,0,,11,46,33,1,1,1,0,0,15,0,possession
ITA-Serie A,2024,Parma,Yordan Osorio,VEN,DF,30-336,1994,1.9,141,12,73,63,5,1,141,0,0,,0,,88,358,180,1,0,0,1,0,89,0,possession
ITA-Serie A,2024,Parma,Zion Suzuki,JPN,GK,22-233,2002,29.8,1257,1029,1250,8,0,0,1257,0,0,,0,,773,3867,2501,0,0,0,1,0,617,0,possession
ITA-Serie A,2024,Roma,Alexis Saelemaekers,BEL,"DF,FW",25-288,1999,11.7,743,9,126,298,327,32,743,41,17,41.5,22,53.7,456,2355,1255,33,26,10,32,11,562,107,possession
ITA-Serie A,2024,Roma,Anass Salah-Eddine,NED,DF,23-083,2002,1.7,117,3,25,45,49,4,117,3,0,0.0,3,100.0,61,431,283,8,5,2,2,1,86,15,possession
ITA-Serie A,2024,Roma,Angeliño,ESP,DF,28-097,1997,28.3,1905,79,545,896,479,36,1905,25,10,40.0,11,44.0,1010,4776,2588,48,43,8,22,9,1249,127,possession
ITA-Serie A,2024,Roma,Artem Dovbyk,UKR,FW,27-294,1997,23.0,570,13,25,223,322,132,568,15,6,40.0,9,60.0,309,1170,375,21,8,11,69,28,440,157,possession
ITA-Serie A,2024,Roma,Bryan Cristante,ITA,MF,30-039,1995,16.5,1154,43,189,779,190,28,1154,6,3,50.0,2,33.3,649,3414,1651,18,20,2,18,9,828,26,possession
ITA-Serie A,2024,Roma,Devyne Rensch,NED,DF,22-083,2003,3.9,249,11,64,132,53,6,249,2,0,0.0,0,0.0,128,477,188,2,5,1,3,2,167,22,possession
ITA-Serie A,2024,Roma,Eldor Shomurodov,UZB,FW,29-286,1995,6.9,301,1,16,127,163,34,301,16,4,25.0,11,68.8,162,871,390,16,14,8,35,12,229,45,possession
ITA-Serie A,2024,Roma,Enzo Le Fée,FRA,MF,25-067,2000,3.5,297,6,46,189,66,6,297,8,4,50.0,2,25.0,204,1198,684,15,12,1,4,4,221,3,possession
ITA-Serie A,2024,Roma,Gianluca Mancini,ITA,DF,28-359,1996,27.9,1840,129,719,928,200,36,1840,8,1,12.5,3,37.5,1117,4815,2728,43,43,3,10,8,1334,23,possession
ITA-Serie A,2024,Roma,Leandro Paredes,ARG,MF,30-286,1994,12.9,1185,63,311,706,176,3,1184,3,3,100.0,0,0.0,690,3474,1721,15,14,0,5,1,851,12,possession
ITA-Serie A,2024,Roma,Lorenzo Pellegrini,ITA,MF,28-296,1996,16.2,750,21,98,365,297,46,749,24,10,41.7,14,58.3,411,2499,1045,24,23,4,26,15,531,75,possession
ITA-Serie A,2024,Roma,Lucas Gourna-Douath,FRA,MF,21-249,2003,1.9,112,0,18,67,27,2,112,3,0,0.0,2,66.7,56,218,93,2,1,0,0,5,82,7,possession
ITA-Serie A,2024,Roma,Manu Koné,FRA,MF,23-329,2001,21.9,1233,23,186,774,294,31,1233,51,18,35.3,20,39.2,788,4719,2193,48,48,11,45,33,946,37,possession
