league,season,team,player,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,stat_type
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,
FRA-Ligue 1,2020,Montpellier,Junior Sambia,FRA,"DF,MF",23,1996,36,26,2448,27.2,1,6,7,1,0,0,2,0,1.0,1.0,2.8,3.8,61,118,122,0.04,0.22,0.26,0.04,0.26,0.04,0.1,0.14,0.04,0.14,standard
FRA-Ligue 1,2020,Montpellier,Keagan Dolly,RSA,MF,27,1993,18,3,452,5.0,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.4,11,19,19,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.08,0.03,0.08,standard
FRA-Ligue 1,2020,Montpellier,Mihailo Ristić,SRB,DF,24,1995,34,26,2236,24.8,0,2,2,0,0,0,4,0,0.7,0.7,1.7,2.4,66,79,113,0.0,0.08,0.08,0.0,0.08,0.03,0.07,0.1,0.03,0.1,standard
FRA-Ligue 1,2020,Montpellier,Nicolas Cozza,FRA,DF,21,1999,20,15,1369,15.2,0,0,0,0,0,0,2,0,0.3,0.3,0.4,0.7,25,42,27,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05,standard
FRA-Ligue 1,2020,Montpellier,Pedro Mendes,POR,DF,29,1990,22,19,1626,18.1,2,0,2,2,0,0,5,0,1.3,1.3,0.6,1.9,8,48,1,0.11,0.0,0.11,0.11,0.11,0.07,0.03,0.1,0.07,0.1,standard
FRA-Ligue 1,2020,Montpellier,Petar Škuletić,SRB,"FW,MF",30,1990,19,1,234,2.6,2,0,2,2,0,0,0,0,1.4,1.4,0.7,2.1,3,3,18,0.77,0.0,0.77,0.77,0.77,0.54,0.28,0.82,0.54,0.82,standard
FRA-Ligue 1,2020,Montpellier,Sacha Delaye,FRA,MF,18,2002,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard
FRA-Ligue 1,2020,Montpellier,Samy Benchamma,FRA,"DF,MF",20,2000,5,0,42,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,standard
FRA-Ligue 1,2020,Montpellier,Stephy Mavididi,ENG,"FW,MF",22,1998,35,23,2030,22.6,9,0,9,9,0,0,3,0,5.6,5.6,1.2,6.8,76,23,140,0.4,0.0,0.4,0.4,0.4,0.25,0.05,0.3,0.25,0.3,standard
FRA-Ligue 1,2020,Montpellier,Téji Savanier,FRA,MF,28,1991,27,26,2165,24.1,5,5,10,3,2,4,6,1,5.9,2.8,6.8,9.6,46,171,76,0.21,0.21,0.42,0.12,0.33,0.25,0.28,0.53,0.12,0.4,standard
FRA-Ligue 1,2020,Montpellier,Vitorino Hilton,BRA,DF,42,1977,29,24,2117,23.5,0,1,1,0,0,0,4,2,1.2,1.2,0.3,1.5,3,59,4,0.0,0.04,0.04,0.0,0.04,0.05,0.01,0.06,0.05,0.06,standard
FRA-Ligue 1,2020,Montpellier,Yun Il-lok,KOR,"MF,FW",28,1992,12,3,312,3.5,0,0,0,0,0,0,1,0,0.6,0.6,0.5,1.1,8,6,11,0.0,0.0,0.0,0.0,0.0,0.16,0.15,0.31,0.16,0.31,standard
FRA-Ligue 1,2020,Nantes,Abdoul Kader Bamba,FRA,"FW,MF",26,1994,29,6,917,10.2,3,1,4,3,0,1,2,0,2.4,1.6,1.3,2.8,41,43,96,0.29,0.1,0.39,0.29,0.39,0.23,0.12,0.36,0.15,0.28,standard
