league,season,team,player,nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,stat_type
,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,
GER-Bundesliga,2023,Dortmund,Ramy Bensebaini,ALG,DF,28,1995,11.5,34,21,21,11,2,24,34,70.6,10,22,7,15,16,50,37,0,defense
GER-Bundesliga,2023,Dortmund,Salih Özcan,TUR,MF,25,1998,13.2,20,12,11,8,1,10,18,55.6,8,28,3,25,17,37,18,1,defense
GER-Bundesliga,2023,Dortmund,Samuel Bamba,GER,FW,19,2004,0.5,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,1,0,defense
GER-Bundesliga,2023,Dortmund,Sébastien Haller,CIV,FW,29,1994,4.4,1,0,0,1,0,1,1,100.0,0,4,1,3,0,1,7,0,defense
GER-Bundesliga,2023,Dortmund,Thomas Meunier,BEL,DF,31,1991,6.5,5,1,3,2,0,3,13,23.1,10,8,2,6,4,9,22,0,defense
GER-Bundesliga,2023,Dortmund,Thorgan Hazard,BEL,DF,30,1993,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
GER-Bundesliga,2023,Dortmund,Youssoufa Moukoko,GER,FW,18,2004,6.9,4,1,2,2,0,3,7,42.9,4,4,1,3,2,6,4,0,defense
GER-Bundesliga,2023,Eint Frankfurt,Ansgar Knauff,GER,"MF,DF",21,2002,23.4,43,26,17,16,10,17,31,54.8,14,40,3,37,20,63,15,0,defense
GER-Bundesliga,2023,Eint Frankfurt,Aurélio Buta,POR,"DF,MF",26,1997,19.4,40,25,19,16,5,21,38,55.3,17,24,5,19,15,55,36,0,defense
GER-Bundesliga,2023,Eint Frankfurt,Christopher Lenz,GER,DF,28,1994,0.1,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,1,0,defense
GER-Bundesliga,2023,Eint Frankfurt,Donny van de Beek,NED,"MF,FW",26,1997,4.0,8,3,3,3,2,3,7,42.9,4,5,1,4,3,11,1,0,defense
GER-Bundesliga,2023,Eint Frankfurt,Elias Baum,GER,"DF,MF",17,2005,0.3,1,0,0,0,1,0,0,,0,3,2,1,0,1,1,0,defense
GER-Bundesliga,2023,Eint Frankfurt,Ellyes Skhiri,TUN,MF,28,1995,24.1,44,24,18,19,7,19,36,52.8,17,33,4,29,39,83,47,2,defense
GER-Bundesliga,2023,Eint Frankfurt,Fares Chaïbi,ALG,"MF,FW",20,2002,21.2,27,17,7,12,8,8,18,44.4,10,37,1,36,5,32,19,0,defense
