nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,league,season,stat_type
,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,,,
BRA,"DF,MF",21,2001,24.6,1689,60,350,766,583,51,1689,67,27,40.3,32,47.8,1098,6082,2745,50,37,9,37,21,966,175,FRA-Ligue 1,2022,possession
FRA,FW,31,1990,23.5,799,0,22,325,458,151,793,51,23,45.1,25,49.0,610,3251,1304,48,32,26,35,32,599,198,FRA-Ligue 1,2022,possession
FRA,MF,23,1999,34.3,2116,59,352,1340,454,37,2116,91,46,50.5,40,44.0,1600,9328,4753,81,90,9,48,41,1416,71,FRA-Ligue 1,2022,possession
FRA,FW,24,1998,26.7,954,14,123,389,464,109,954,98,38,38.8,30,30.6,741,5545,2781,109,63,37,62,42,688,181,FRA-Ligue 1,2022,possession
FRA,"DF,FW",30,1992,4.0,185,17,57,93,37,3,185,7,2,28.6,4,57.1,98,532,245,5,1,0,5,1,86,14,FRA-Ligue 1,2022,possession
FRA,"FW,MF",17,2005,0.3,13,0,1,1,11,0,13,0,0,,0,,8,25,11,0,1,0,1,0,9,6,FRA-Ligue 1,2022,possession
FRA,GK,31,1991,19.0,698,567,694,5,0,0,698,1,1,100.0,0,0.0,426,2516,1595,0,0,0,0,0,294,0,FRA-Ligue 1,2022,possession
SEN,GK,25,1996,4.5,143,120,143,0,0,0,143,0,0,,0,,86,416,244,0,0,0,0,0,57,0,FRA-Ligue 1,2022,possession
MLI,DF,25,1997,14.0,796,114,440,334,30,21,796,4,3,75.0,0,0.0,513,3101,1519,3,3,1,3,0,459,1,FRA-Ligue 1,2022,possession
CGO,"FW,MF",19,2002,2.2,67,2,6,28,36,11,67,9,2,22.2,7,77.8,49,424,181,9,4,0,4,5,46,17,FRA-Ligue 1,2022,possession
SEN,FW,23,1999,0.4,15,0,1,9,5,1,15,1,0,0.0,1,100.0,10,55,5,0,0,0,2,3,12,3,FRA-Ligue 1,2022,possession
FRA,DF,29,1993,29.9,1360,239,746,574,47,32,1360,5,5,100.0,0,0.0,850,4177,1890,2,4,1,15,4,755,6,FRA-Ligue 1,2022,possession
FRA,FW,19,2003,27.9,717,5,36,307,383,125,716,76,29,38.2,37,48.7,535,3721,1442,57,40,36,87,46,545,190,FRA-Ligue 1,2022,possession
