nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,league,season,stat_type
,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,,,
POR,MF,31-255,1993,11.4,26,13,9,10,7,10,29,34.5,19,6,1,5,6,32,9,1,FRA-Ligue 1,2024,defense
ENG,MF,24-223,2000,8.2,10,6,4,4,2,2,12,16.7,10,0,0,0,0,10,2,0,FRA-Ligue 1,2024,defense
FRA,MF,17-191,2007,11.5,48,30,21,20,7,18,31,58.1,13,10,3,7,9,57,10,1,FRA-Ligue 1,2024,defense
ALG,DF,33-171,1991,16.1,25,15,7,14,4,12,17,70.6,5,21,10,11,14,39,40,0,FRA-Ligue 1,2024,defense
FRA,DF,24-095,2001,27.0,28,15,15,10,3,16,24,66.7,8,28,17,11,21,49,79,5,FRA-Ligue 1,2024,defense
FRA,MF,34-251,1990,24.9,76,37,23,46,7,43,78,55.1,35,37,6,31,42,118,48,0,FRA-Ligue 1,2024,defense
ENG,FW,29-184,1995,3.8,3,2,0,1,2,1,2,50.0,1,3,0,3,0,3,2,0,FRA-Ligue 1,2024,defense
KVX,"FW,MF",26-011,1999,10.9,5,2,3,0,2,2,7,28.6,5,8,0,8,4,9,1,0,FRA-Ligue 1,2024,defense
FRA,"MF,FW",18-103,2006,2.2,6,2,3,2,1,0,3,0.0,3,5,0,5,1,7,0,0,FRA-Ligue 1,2024,defense
SWE,DF,25-347,1999,18.5,32,22,11,15,6,20,33,60.6,13,15,5,10,15,47,36,3,FRA-Ligue 1,2024,defense
ISL,"MF,FW",22-001,2003,14.4,25,10,6,13,6,9,22,40.9,13,8,1,7,6,31,4,0,FRA-Ligue 1,2024,defense
BRA,DF,35-090,1990,5.4,21,9,11,7,3,9,15,60.0,6,11,1,10,6,27,25,0,FRA-Ligue 1,2024,defense
CAN,FW,25-087,2000,22.9,18,4,3,9,6,7,13,53.8,6,11,2,9,4,22,8,0,FRA-Ligue 1,2024,defense
FRA,GK,23-156,2001,28.0,3,2,3,0,0,3,4,75.0,1,0,0,0,0,3,9,3,FRA-Ligue 1,2024,defense
BEL,FW,20-067,2005,6.4,8,6,3,3,2,4,9,44.4,5,6,0,6,1,9,4,0,FRA-Ligue 1,2024,defense
NED,"FW,DF",24-295,2000,11.2,23,13,6,11,6,10,17,58.8,7,9,1,8,11,34,15,0,FRA-Ligue 1,2024,defense
GUI,FW,26-311,1998,3.4,1,1,0,0,1,1,1,100.0,0,0,0,0,0,1,4,0,FRA-Ligue 1,2024,defense
ALG,"MF,FW",30-138,1994,1.7,4,3,2,0,2,3,5,60.0,2,1,0,1,3,7,3,1,FRA-Ligue 1,2024,defense
COD,MF,20-132,2004,12.1,31,17,9,20,2,16,26,61.5,10,11,0,11,14,45,18,0,FRA-Ligue 1,2024,defense
MAR,"FW,MF",23-304,2001,12.9,10,7,2,3,5,2,6,33.3,4,11,1,10,6,16,6,1,FRA-Ligue 1,2024,defense
FRA,DF,20-052,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,FRA-Ligue 1,2024,defense
FRA,"FW,MF",35-034,1990,10.0,34,18,15,10,9,18,31,58.1,13,9,1,8,8,42,4,0,FRA-Ligue 1,2024,defense
BEL,DF,33-211,1991,16.3,46,35,28,14,4,31,42,73.8,11,15,5,10,28,74,51,0,FRA-Ligue 1,2024,defense
POR,DF,22-262,2002,4.5,12,7,4,5,3,6,9,66.7,3,2,0,2,2,14,4,0,FRA-Ligue 1,2024,defense
FRA,"MF,FW",20-095,2005,0.1,1,1,0,0,1,1,1,100.0,0,0,0,0,1,2,0,0,FRA-Ligue 1,2024,defense
BRA,DF,24-319,2000,10.0,22,16,10,8,4,17,26,65.4,9,12,1,11,5,27,33,0,FRA-Ligue 1,2024,defense
BRA,DF,27-019,1998,0.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,FRA-Ligue 1,2024,defense
ENG,DF,27-225,1997,17.5,60,38,25,22,13,41,65,63.1,24,24,4,20,21,81,45,6,FRA-Ligue 1,2024,defense
FRA,FW,33-318,1991,18.1,13,6,3,7,3,5,14,35.7,9,9,1,8,7,20,6,0,FRA-Ligue 1,2024,defense
ANG,DF,32-155,1992,24.1,39,27,22,13,4,26,34,76.5,8,25,17,8,44,83,70,3,FRA-Ligue 1,2024,defense
FRA,MF,30-251,1994,22.7,48,21,19,20,9,28,53,52.8,25,46,11,35,17,65,36,1,FRA-Ligue 1,2024,defense
CRO,DF,28-206,1996,13.9,16,8,8,8,0,8,15,53.3,7,27,21,6,13,29,73,2,FRA-Ligue 1,2024,defense
GHA,"FW,MF",21-161,2003,11.7,21,11,15,4,2,12,27,44.4,15,9,1,8,8,29,8,1,FRA-Ligue 1,2024,defense
GEO,FW,24-162,2000,12.6,6,5,1,2,3,3,9,33.3,6,8,0,8,3,9,4,0,FRA-Ligue 1,2024,defense
NGA,"FW,DF",22-268,2002,2.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,FRA-Ligue 1,2024,defense
FRA,MF,32-041,1993,14.7,23,12,10,11,2,14,35,40.0,21,14,2,12,4,27,21,0,FRA-Ligue 1,2024,defense
BRA,GK,27-122,1997,28.0,1,1,1,0,0,0,4,0.0,4,1,0,1,0,1,19,1,FRA-Ligue 1,2024,defense
