league,season,team,player,nation,pos,age,born,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,stat_type
,,,,,,,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,
ESP-La Liga,2022,Real Sociedad,Mohamed Ali Cho,FRA,"FW,MF",18,2004,6.5,281,4,33,106,151,29,281,39,16,41.0,18,46.2,192,1299,704,30,6,14,29,9,204,63,possession
ESP-La Liga,2022,Real Sociedad,Olasagasti,ESP,"MF,DF",21,2000,0.7,61,1,13,41,8,1,61,0,0,,0,,30,130,82,2,1,0,2,0,37,3,possession
ESP-La Liga,2022,Real Sociedad,Pablo Marín,ESP,"MF,FW",19,2003,4.0,215,4,38,89,89,10,215,9,5,55.6,3,33.3,132,629,302,9,8,3,8,5,155,24,possession
ESP-La Liga,2022,Real Sociedad,Roberto Navarro,ESP,"MF,FW",20,2002,3.9,212,2,25,76,118,20,212,18,7,38.9,9,50.0,128,886,389,17,15,9,21,16,131,28,possession
ESP-La Liga,2022,Real Sociedad,Robin Le Normand,ESP,DF,25,1996,31.1,1976,242,946,988,53,21,1976,2,2,100.0,0,0.0,1200,6631,3761,26,11,0,8,9,1272,2,possession
ESP-La Liga,2022,Real Sociedad,Takefusa Kubo,JPN,"FW,MF",21,2001,27.1,1240,6,94,431,736,141,1240,117,49,41.9,50,42.7,841,5895,3281,117,60,66,90,42,929,239,possession
ESP-La Liga,2022,Real Sociedad,Umar Sadiq,NGA,FW,25,1997,0.9,26,1,2,9,15,2,26,3,2,66.7,0,0.0,16,62,9,0,0,1,6,2,21,6,possession
ESP-La Liga,2022,Real Sociedad,Álex Remiro,ESP,GK,27,1995,38.0,1390,1173,1383,7,0,0,1390,0,0,,0,,805,4485,2701,0,0,0,2,0,650,0,possession
ESP-La Liga,2022,Sevilla,Adnan Januzaj,BEL,FW,27,1995,0.5,30,0,2,12,16,1,30,8,4,50.0,3,37.5,19,171,32,0,1,0,1,1,22,6,possession
ESP-La Liga,2022,Sevilla,Alex Telles,BRA,DF,29,1992,15.9,880,57,287,348,252,11,880,28,14,50.0,13,46.4,400,1946,936,21,11,4,11,1,461,80,possession
ESP-La Liga,2022,Sevilla,Bryan Gil,ESP,"FW,DF",21,2001,10.2,515,10,81,188,254,25,515,45,19,42.2,17,37.8,339,1802,743,28,21,4,31,18,337,75,possession
ESP-La Liga,2022,Sevilla,Carlos Álvarez,ESP,MF,18,2003,0.1,6,0,0,3,3,0,6,0,0,,0,,2,18,1,0,0,0,1,0,5,1,possession
ESP-La Liga,2022,Sevilla,Carmona,ESP,DF,20,2002,5.9,400,33,147,196,60,6,400,6,2,33.3,3,50.0,227,935,526,9,11,2,11,2,249,8,possession
ESP-La Liga,2022,Sevilla,Diego Iturralde,ESP,DF,19,2003,0.5,16,2,9,7,1,0,16,0,0,,0,,8,24,9,0,0,0,0,0,8,1,possession
ESP-La Liga,2022,Sevilla,Fernando,BRA,"MF,DF",35,1987,17.5,1025,83,369,532,131,5,1025,5,3,60.0,1,20.0,584,2441,1049,6,17,0,13,12,656,13,possession
ESP-La Liga,2022,Sevilla,Gonzalo Montiel,ARG,DF,25,1997,16.9,1023,54,291,433,310,33,1023,23,10,43.5,12,52.2,532,2769,1584,34,28,5,23,9,576,87,possession
ESP-La Liga,2022,Sevilla,Isco,ESP,"MF,FW",30,1992,8.9,509,9,70,275,172,20,509,29,11,37.9,9,31.0,339,2050,818,16,23,1,21,22,387,36,possession
ESP-La Liga,2022,Sevilla,Ivan Rakitić,CRO,MF,34,1988,19.9,1435,28,212,780,451,33,1433,11,4,36.4,4,36.4,853,3736,2003,42,35,2,24,13,1003,84,possession
ESP-La Liga,2022,Sevilla,Iván Romero,ESP,MF,21,2001,0.1,5,0,0,3,2,0,5,0,0,,0,,4,19,1,0,0,0,1,1,4,0,possession
