league,season,team,player,nation,pos,age,born,90s,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,stat_type
GER-Bundesliga,2022,Dortmund,Felix Passlack,GER,DF,24,1998,0.7,4,3,0,4,0,1,1,100.0,0,1,1,0,0,4,1,0,defense
GER-Bundesliga,2022,Dortmund,Gio Reyna,USA,"FW,MF",19,2002,6.9,14,7,2,5,7,5,10,50.0,5,8,2,6,3,17,5,0,defense
GER-Bundesliga,2022,Dortmund,Gregor Kobel,SUI,GK,24,1997,27.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,7,2,defense
GER-Bundesliga,2022,Dortmund,Jamie Gittens,ENG,"FW,MF",17,2004,5.9,8,4,2,5,1,2,7,28.6,5,1,0,1,1,9,2,0,defense
GER-Bundesliga,2022,Dortmund,Jude Bellingham,ENG,MF,19,2003,29.9,76,42,28,34,14,34,51,66.7,17,51,4,47,35,111,30,0,defense
GER-Bundesliga,2022,Dortmund,Julian Brandt,GER,"MF,FW",26,1996,26.6,29,20,6,14,9,12,43,27.9,31,23,0,23,15,44,9,1,defense
GER-Bundesliga,2022,Dortmund,Julian Ryerson,NOR,DF,24,1997,15.7,27,15,17,7,3,19,37,51.4,18,13,2,11,8,35,28,0,defense
GER-Bundesliga,2022,Dortmund,Julien Duranville,BEL,MF,16,2006,0.3,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,defense
GER-Bundesliga,2022,Dortmund,Justin Njinmah,GER,FW,21,2000,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
GER-Bundesliga,2022,Dortmund,Karim Adeyemi,GER,"FW,MF",20,2002,15.4,16,11,6,6,4,8,30,26.7,22,18,1,17,7,23,3,0,defense
GER-Bundesliga,2022,Dortmund,Mahmoud Dahoud,GER,MF,26,1996,3.7,11,9,3,4,4,7,7,100.0,0,6,2,4,7,18,3,0,defense
GER-Bundesliga,2022,Dortmund,Marco Pašalić,CRO,MF,21,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
GER-Bundesliga,2022,Dortmund,Marco Reus,GER,"MF,FW",33,1989,15.0,30,17,12,14,4,7,24,29.2,17,12,4,8,8,38,8,0,defense
GER-Bundesliga,2022,Dortmund,Marius Wolf,GER,DF,27,1995,17.4,25,18,9,12,4,16,29,55.2,13,40,10,30,18,43,22,1,defense
GER-Bundesliga,2022,Dortmund,Mats Hummels,GER,DF,33,1988,22.4,62,34,38,22,2,32,55,58.2,23,30,16,14,33,95,100,1,defense
GER-Bundesliga,2022,Dortmund,Nico Schlotterbeck,GER,DF,22,1999,25.0,59,34,34,24,1,37,53,69.8,16,38,21,17,32,91,71,1,defense
GER-Bundesliga,2022,Dortmund,Niklas Süle,GER,DF,26,1995,23.5,25,19,18,3,4,14,23,60.9,9,28,19,9,17,42,53,0,defense
GER-Bundesliga,2022,Dortmund,Raphaël Guerreiro,POR,"DF,MF",28,1993,25.4,36,20,13,15,8,21,34,61.8,13,21,2,19,36,72,23,0,defense
GER-Bundesliga,2022,Dortmund,Salih Özcan,TUR,MF,24,1998,17.5,31,18,10,16,5,16,39,41.0,23,24,2,22,28,59,19,1,defense
GER-Bundesliga,2022,Dortmund,Soumaïla Coulibaly,FRA,DF,18,2003,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,defense
GER-Bundesliga,2022,Dortmund,Sébastien Haller,CIV,FW,28,1994,13.6,5,4,2,1,2,0,4,0.0,4,8,0,8,1,6,10,0,defense
GER-Bundesliga,2022,Dortmund,Thomas Meunier,BEL,DF,30,1991,6.5,16,7,8,5,3,10,17,58.8,7,7,2,5,9,25,16,0,defense
GER-Bundesliga,2022,Dortmund,Thorgan Hazard,BEL,"FW,DF",29,1993,5.2,17,6,5,11,1,12,17,70.6,5,6,0,6,5,22,5,0,defense
GER-Bundesliga,2022,Dortmund,Tom Rothe,GER,DF,17,2004,0.3,1,1,0,1,0,1,1,100.0,0,0,0,0,1,2,2,0,defense
GER-Bundesliga,2022,Dortmund,Youssoufa Moukoko,GER,FW,17,2004,12.7,13,7,3,6,4,3,6,50.0,3,9,0,9,2,15,1,0,defense
GER-Bundesliga,2022,Eint Frankfurt,Almamy Touré,MLI,DF,26,1996,4.4,13,7,7,5,1,5,9,55.6,4,9,2,7,10,23,8,0,defense
GER-Bundesliga,2022,Eint Frankfurt,Ansgar Knauff,GER,DF,20,2002,14.3,36,25,22,11,3,15,34,44.1,19,19,1,18,15,51,26,0,defense
GER-Bundesliga,2022,Eint Frankfurt,Aurélio Buta,POR,DF,25,1997,14.6,33,19,15,13,5,15,27,55.6,12,18,1,17,9,42,34,0,defense
GER-Bundesliga,2022,Eint Frankfurt,Christopher Lenz,GER,DF,27,1994,14.3,29,21,17,7,5,16,37,43.2,21,16,3,13,21,50,34,0,defense
GER-Bundesliga,2022,Eint Frankfurt,Daichi Kamada,JPN,MF,25,1996,25.2,51,31,10,37,4,31,57,54.4,26,31,2,29,16,67,17,1,defense
GER-Bundesliga,2022,Eint Frankfurt,Dario Gebuhr,GER,DF,19,2003,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,defense
GER-Bundesliga,2022,Eint Frankfurt,Diant Ramaj,GER,GK,20,2001,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,defense
GER-Bundesliga,2022,Eint Frankfurt,Djibril Sow,SUI,MF,25,1997,29.4,41,25,13,25,3,22,44,50.0,22,22,4,18,28,69,23,0,defense
GER-Bundesliga,2022,Eint Frankfurt,Faride Alidou,GER,"DF,MF",21,2001,2.0,8,5,3,4,1,3,9,33.3,6,3,0,3,1,9,3,0,defense
GER-Bundesliga,2022,Eint Frankfurt,Filip Kostić,SRB,"DF,MF",29,1992,0.8,2,0,1,1,0,0,0,,0,0,0,0,1,3,0,0,defense
GER-Bundesliga,2022,Eint Frankfurt,Hrvoje Smolčić,CRO,DF,21,2000,5.2,8,7,6,2,0,5,10,50.0,5,11,4,7,6,14,38,0,defense
GER-Bundesliga,2022,Eint Frankfurt,Jesper Lindstrøm,DEN,"MF,FW",22,2000,18.7,26,11,15,7,4,7,22,31.8,15,25,3,22,9,35,9,0,defense
GER-Bundesliga,2022,Eint Frankfurt,Junior Dina Ebimbe,FRA,"DF,MF",21,2000,11.8,30,19,16,14,0,16,33,48.5,17,18,5,13,11,41,20,0,defense
GER-Bundesliga,2022,Eint Frankfurt,Kevin Trapp,GER,GK,32,1990,33.0,1,1,1,0,0,0,2,0.0,2,2,0,2,0,1,10,0,defense
GER-Bundesliga,2022,Eint Frankfurt,Kristijan Jakić,CRO,"DF,MF",25,1997,16.2,33,21,19,12,2,22,41,53.7,19,32,10,22,14,47,49,1,defense
GER-Bundesliga,2022,Eint Frankfurt,Luca Pellegrini,ITA,DF,23,1999,6.2,13,8,10,3,0,8,8,100.0,0,8,2,6,7,20,11,1,defense
GER-Bundesliga,2022,Eint Frankfurt,Lucas Alario,ARG,"FW,MF",29,1992,3.7,3,2,1,0,2,0,1,0.0,1,0,0,0,2,5,13,0,defense
GER-Bundesliga,2022,Eint Frankfurt,Makoto Hasebe,JPN,DF,38,1984,14.5,18,12,16,2,0,7,22,31.8,15,22,9,13,17,35,45,0,defense
GER-Bundesliga,2022,Eint Frankfurt,Marcel Wenig,GER,MF,18,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,defense
GER-Bundesliga,2022,Eint Frankfurt,Mario Götze,GER,MF,30,1992,30.4,42,25,13,22,7,14,47,29.8,33,25,0,25,13,55,12,0,defense
GER-Bundesliga,2022,Eint Frankfurt,Obite N'Dicka,CIV,DF,22,1999,29.9,25,18,10,11,4,18,32,56.3,14,47,19,28,31,56,150,0,defense
